source,split,image,image_path,caption,category,caption_length
NWPU,train,NWPU_15481.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_15481.jpg,There are some brown buildings and green trees on the medium residential area .,vegetation,14
RSICD,train,RSICD_8312.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_8312.jpg,a building is surrounded by many green trees .,vegetation,9
NWPU,train,NWPU_12044.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_12044.jpg,There are some black buildings with some trees around on the industrial area .,infrastructure,14
RSICD,train,RSICD_7641.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7641.jpg,many green trees are in two sides of a curved river .,vegetation,12
UCM,train,UCM_1368.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1368.jpg,Lots of mobile homes with plants surrounded in the mobile home park .,vegetation,13
RSICD,train,RSICD_7443.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_7443.jpg,a large building with a swimming pool is surrounded by sparse green trees in a resort .,vegetation,17
RSICD,train,RSICD_4573.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4573.jpg,many green trees and buildings are in a medium residential area .,vegetation,12
NWPU,train,NWPU_27389.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_27389.jpg,There are many differently sized storage tanks in the factory .,infrastructure,11
RSICD,train,RSICD_4721.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4721.jpg,there was a white car parked in front of a gray roof .,transportation,13
RSICD,train,RSICD_5979.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_5979.jpg,a playground is near several buildings and green trees .,vegetation,10
NWPU,train,NWPU_8843.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_8843.jpg,A dense forest beside a brown farmland .,vegetation,8
RSICD,train,RSICD_1508.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1508.jpg,a bridge connects the two sides of the river .,transportation,10
UCM,train,UCM_1762.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1762.jpg,A straight runway with some mark lines on it .,airport,10
UCM,train,UCM_1401.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1401.jpg,An overpass with a road go across another roads diagonally with some plants surounded .,transportation,15
NWPU,train,NWPU_29109.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_29109.jpg,Many irregularly shaped brown and green mixed farm fields with several paths and many buildings .,vegetation,16
RSICD,train,RSICD_3007.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3007.jpg,we can see dendritic texture on the desert .,landscape,9
NWPU,train,NWPU_11656.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_11656.jpg,Many yachts are neatly arranged on the sea side of the harbor .,water,13
NWPU,train,NWPU_23467.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_23467.jpg,"There is brown bare ground next to the runway, With short white lines on the runway .",airport,17
RSICD,train,RSICD_3909.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3909.jpg,many buildings and bare land are in an industrial area.,landscape,10
RSICD,train,RSICD_9244.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9244.jpg,many storage tanks are near several green trees .,vegetation,9
RSICD,train,RSICD_3352.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3352.jpg,"it is brown, green and dark green land, light yellow road .",vegetation,12
RSICD,train,RSICD_9471.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_9471.jpg,a large number of different sizes of storage tanks on the road in a piece of land.,landscape,17
NWPU,train,NWPU_20718.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_20718.jpg,There are some buildings around the railway station .,transportation,9
RSICD,train,RSICD_1206.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_1206.jpg,a lot of umbrellas on the beach .,water,8
UCM,train,UCM_1746.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1746.jpg,A straight runway with some mark lines on it .,airport,10
UCM,train,UCM_1505.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\UCM_1505.jpg,Lots of cars parked neatly in the parking lot .,unknown,10
NWPU,train,NWPU_29131.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_29131.jpg,There is a straight path between the terraces .,unknown,9
RSICD,train,RSICD_4030.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_4030.jpg,many crowded containers are in an industrial area .,infrastructure,9
RSICD,train,RSICD_3397.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\RSICD_3397.jpg,many pieces of farmlands are together .,unknown,7
NWPU,train,NWPU_4379.jpg,C:\Users\GOKTURK\Desktop\project-di\dataset\resized\NWPU_4379.jpg,A cathedral with a gray roof  The main house in the middle of the church has a white round roof  There are many trees and a road around the church  There are many cars on the road .,urban,38
